,Date,Description,Location,Reference,Link,SourceID,Ref2,Ref3,Country,City,Original_Location,ApproximateLatLons
10,01/01/0460,"4th spring, 2nd month. The emperor took part in a bow hunt on Mount Katsuraki. Suddenly a tall man appeared, who in face and appearance, resembled the emperor. ""From what place do you come?"" asked the emperor. ""I am the god of visible men. First tell me your royal name and then I will inform you of mine."" The emperor answered: ""We are the Waka-taka-no-Mikoto."" The tall man said: ""Your servant is the god Hito-Koto-Mushi. The god who chases away with one word the good and with one word the bad. He joined the emperor until the setting of the sun, when the hunt ended. The god accompanied the emperor to the waters of Kume"".","JAPAN, mont Katsuraki","Yves NAUD: ""Les Ovni et les E.T. dans l'histoire, tome 1"" - Famot 1977, tome 2 p. 237, 238",Nihongi,Overmeire_10,"[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",,JAPAN,MONT KATSURAKI,"JAPAN, mont Katsuraki","(36.2048, 138.2529)"
11,01/01/0549,"During the Thai Tsing period, under Emperor Won-Ti of the Liang Dynasty, General Heou-King besieged the city of King Thai. The inhabitants of the city used kites to send out calls for help to the nearby villages.",CHINA,"""The Conquest of the Air, Chronology..."" A. Van Hoorebeeck - Ed. Marabout Université 1967, p. 14","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_11,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
12,01/01/0575,"When St. Columcille convened the synod of Drum Ceatt (or Drom Ecart), he asked Aedh Mac Ainmuire to release Scandlann Mor, which was refused. During the same night, a pillar of fire was seen above the city. It headed towards the prison where Scandlann Mor was held, stopped and emitted a beam of light that penetrated the cell. The chains that held the prisoner then detached and he heard a voice calling him. An angel came to free him. Following this, Aedh Mac Ainmuire, greatly impressed, recognized the divine mission of which St. Columcille was invested.",IRELAND,"Michel BOUGARD: ""La chronique des Ovni"" - Delarge 1977 - p. 55","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_12,,,IRELAND,,IRELAND,"(53.1424, -7.6921)"
13,01/01/0585,"""In September, some saw signs, that is to say these rays or domes that one is accustomed to seeing and which seemed to run with speed in the sky"".",FRANCE,"Henry DURRANT: ""The Black Book of UFOs"" - Laffont 1970, p. 56","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_13,,,FRANCE,PARIS,FRANCE,"(46.2276, 2.2137)"
14,01/01/0587,"""We saw for two nights in a row, in the middle of the sky, a kind of very bright cloud that had the shape of a hood.""",FRANCE,"Henry DURRANT: ""The Black Book of UFOs"" - Laffont 1970, p. 56","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_14,,,FRANCE,PARIS,FRANCE,"(46.2276, 2.2137)"
15,01/01/0661,"For the year 661, Japanese chronicles cite an intriguing event: ""Autumn, first day of the eighth month. The imperial prince, after coming to bow over the mortal remains of the deceased empress, returned to the Ihase palace. That night, at the top of Mount Asakura, there was a spirit wearing a large hat, who observed the funeral proceedings. All the people present gave loud cries of astonishment.""",JAPAN,"Richard D. NOLANE: Autrefois les Extraterrestres - Mythes et réalités"" Presses de la Cité Poche 1993 p.184","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_15,,,JAPAN,TOKYO,JAPAN,"(36.2048, 138.2529)"
16,01/01/0664,".. while some nuns were praying in a cemetery near the convent of Berecingum (Barking), a large light descended from the sky, encircled them, then circled the monastery before disappearing high into the sky.","GREAT BRITAIN, Barking","Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 - p.58","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_16,,,GREAT BRITAIN,BARKING,"GREAT BRITAIN, Barking","(55.3781, -3.436)"
17,10/01/0679,"""... a material similar to cotton five to six feet long fell on Ninawa [former name of Osaka].","JAPAN, Osaka","Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 - p.58","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_17,,,JAPAN,OSAKA,"JAPAN, Osaka","(36.2048, 138.2529)"
18,01/01/0682,"On the third day of the eighth month of the year 682 a great star crossed the sky from east to west above Tsukushi. The term great star seems to exclude a meteor or comet. Eight days later: ""Something appeared that had the shape of a Buddhist baptismal flag, flame-colored. It hovered in the void, headed north and was seen in all provinces. Some said it plunged into the sea off Koshi."" (Richard D. NOLANE: ""Once Upon a Time Aliens - Myths and Realities"" Presses de la Cité Poche 1993 p.184, 185) On the twelfth day there was a strong earthquake. The next day the vice-governor of Tsukushi reported that he had seen a three-legged bird. On the seventeenth day there was another earthquake. At dawn an arc of the sky was seen in the middle of the sky at the height of the sun. [note from vog: there is nothing supernatural or extraterrestrial about this. This rather rare phenomenon of a complete circular rainbow around the sun, I was able to contemplate in the 60s when I lived in Africa.]",Japan,"Yves NAUD: ""UFOs and ETs in History"" - FAMOT 1977, VOLUME 2 p. 240, 241","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_18,,,JAPAN,TOKYO,Japan,"(36.2048, 138.2529)"
19,09/01/0692,"On the twenty-eighth month, under the reign of Tokama-no-ara-hito-hime, in the night, the planets Mars and Jupiter were seen to approach each other and then move away four times in succession, shining and then fading alternately. (692, Autumn)",JAPAN,"Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 - p.58","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_19,,,JAPAN,TOKYO,JAPAN,"(36.2048, 138.2529)"
20,01/01/0729,""".. the monk Wilfred saw two large comets circling around the Sun...""","FRANCE, Meaux","Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 - p.58","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_20,,,FRANCE,MEAUX,"FRANCE, Meaux","(46.2276, 2.2137)"
21,01/01/0746,""".. dragons were seen several times in the sky, as well as aerial vessels with men on board"". (746-748)",GREAT BRITAIN,"Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 - p.58","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_21,,,GREAT BRITAIN,,GREAT BRITAIN,"(51.5074, -0.1278)"
22,01/01/0760,"Under the reign of Pepin the Short (715-768), very singular phenomena were publicly shown in France. The air was full of human figures, the sky reflected mirages of palaces, gardens, agitated waters, ships with sails in the wind and armies lined up for battle. The atmosphere was like a great dream. (...) Dreams and wakefulness were confused and several people thought they had been taken away by aerial beings; all that was heard was talk of trips to the land of the sylphs .... madness seized the best minds and finally the Church had to intervene"".",FRANCE,"Yves Naud: ""ETs and UFOs in History"" Famot 1977, Volume 2 p. 122-123","Eliphas Levi in ""History of Magic""",Overmeire_22,"[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",,FRANCE,PARIS,FRANCE,"(46.2276, 2.2137)"
23,01/01/0773,"""... a red cross appeared after sunset above England.",GREAT BRITAIN,"Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 - p.58","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_23,,,GREAT BRITAIN,,GREAT BRITAIN,"(51.5074, -0.1278)"
24,01/01/0776,"""...and on the same day, as they were preparing a new assault against the Christians living in the castle, the glory of God manifested itself above the church, inside the fortress. Those who were on guard outside in the square said they saw the resemblance of two large shields of reddish color, flaming and in motion above the church itself...""","GERMANY, Sigisburg","Michel BOUGARD: ""The Chronicle of UFOs"" - Delarge 1977 p.58-59","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_24,,,GERMANY,SIGISBURG,"GERMANY, Sigisburg","(51.1657, 10.4515)"
25,01/01/0793,"Above the former kingdom of Northumbria: .."" very powerful and terrifying the inhabitants... they were lights like never seen before, like flashes, and red dragons were also seen flying in the air...""",GREAT BRITAIN,"Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 p. 61","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_25,,,GREAT BRITAIN,,GREAT BRITAIN,"(51.5074, -0.1278)"
26,01/01/0796,"According to the ""Flores Historiarum"" of the Benedictine Roger de Wendover, small globes were seen spinning around the sun.",GREAT BRITAIN,"Michel BOUGARD, Inforespace n° 22, p. 36","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_26,,,GREAT BRITAIN,,GREAT BRITAIN,"(51.5074, -0.1278)"
27,01/01/0800,"The Byzantines, relaying the Chinese and Arabs whose recipe was then transmitted to all of Europe, shot off rockets. They were called ""Rocchetto"" in Italy, a name which the French translated as ""Fusee"", the Germans as ""Rakete"", and the English as ""Rocket"". It became the absolute weapon in the Middle Ages and Charles VII made abundant use of it in the reconquest of the Kingdom. (800's)",BYZANTIUM,"L'Astronautique"", Pierre Rousseau, ed. Hachette 1965, p. 8","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_27,,,BYZANTIUM,,BYZANTIUM,
28,01/01/0810,"Charles himself was the victim of a significant accident during his last expedition in Saxony against the Danish king Godefrid. One day, when he had left the camp and set out before sunrise, he suddenly saw a dazzling torch miraculously descend from a serene sky and traverse the air from right to left. And as one wondered what this phenomenon portended, the horse he was riding suddenly lowered its head and fell, precipitating him to the ground with such violence that the fibula of his cloak broke and the belt of his sword was torn off. When his servants, witnesses of the accident, rushed to raise him up, they found him without weapons, without a cloak, and a javelin was picked up at least twenty feet away which had escaped from his hands at the moment of his fall.""","GERMANY, Saxony","Michel BOUGARD: ""The Chronicle of UFOs"" - Delarge 1977 p. 61","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_28,,,GERMANY,SAXONY,"GERMANY, Saxony","(51.1657, 10.4515)"
29,01/01/0814,A star like a half braid of straw rose from the ground and its light illuminated the ground. A number of small stars came out of it.,CHINA,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p.40","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_29,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
30,01/01/0827,"Eginard further reports that during the expedition to Spain of Pépin Ir, second son of Louis the Pious, strange things happened: "".. in truth this disaster was preceded by terrible apparitions of things in the air. During the night they were sometimes pale lights, sometimes bright and red fires like blood"".",SPAIN,"Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 p. 61","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_30,,,SPAIN,,SPAIN,"(40.4637, -3.7492)"
31,01/01/0840,"(Before 840.) Agobard (779-840) had conducted an investigation and discovered that missing people claimed upon their return to have visited a country they called Magonia. Being a Christian and a rationalist, he refused to believe it and had even stoned three men and one woman in his presence who claimed to have gone to Magonia in an aerial ship. (Jacques BERGIER: ""Les E.T. dans l'histoire"" - J'AI LU 1970 - p 146) (note from vog: this seems, to say the least, a rocambolesque interpretation of what was really happening with Agobard...) One day, aerial saucers arrived in Lyon from which three men and one woman were seen descending. The whole city gathered around them, shouting that they were magicians sent by Grimaldus, Duke of Berreventum, the enemy of Charlemagne, to destroy the French crops. In vain, the four innocents defended themselves by saying that they were their own and had been carried away a short time before by extraordinary men who had shown them wonders never heard of before, and they had desired to make their own account of what they had seen. The raging populace paid no attention to their defense and was about to throw them into the fire, when the brave Agobard, Bishop of Lyon, alerted by the noise, arrived running and after having heard the accusations of the people and the defense of the accused, declared gravely that both were in error... the men and the woman were released. [note from vog: which also does not seem to be the correct interpretation: Agobard was neither wise nor balanced, he was a kind of fanatic towards unbelievers and heretics, and those ""returning from an aerial vessel"", what else were they?]","FRANCE, Lyon","Yves Naud: ""Les E.T. et les OVNI dans l'histoire"" Famot 1977, volume 2 p. 126","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_31,,,FRANCE,LYON,"FRANCE, Lyon","(46.2276, 2.2137)"
32,12/01/0848,"Lances were seen in the sky. Thirty days later, terrifying lances were again seen in the north and east of the sky.",FRANCE,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p.40","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_32,,,FRANCE,PARIS,FRANCE,"(46.2276, 2.2137)"
33,01/01/0877,"Charles II, the Bald (823 - 877) was one day taken away by a being of dazzling whiteness, armed with a weapon throwing an extraordinary light, like that of a comet. During the journey, the stranger protected the king from certain wild animals by enveloping him in a brightness that so offended these dangerous beasts that they could not reach him. (877 (before...))",FRANCE,"Michel BOUGARD, Inforespace n° 21, p. 48","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_33,,,FRANCE,PARIS,FRANCE,"(46.2276, 2.2137)"
34,11/01/0879,"There was one day two suns that fought ardently. And another day of the same month, two suns rose together and fought in the sky, merging into one single star in the eyes of all spectators.",CHINA,"SHI BO: ""China and the Extraterrestrials"" ed. Mercure de France, 1983, p.47","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_34,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
35,01/01/0905,"On the third moon and the day I-Cheou at midnight, a great ball of fire appeared at the zenith. It was the size of five bushels. It headed towards the northwest. At a distance of one hundred feet it stopped. Above it, a multitude of small stars were seen, like sparks of a yellowish red. Its tail was fifty feet long and resembled a snake. All the small stars were in motion. Soon after, the ball went out and was replaced by a greenish vapor, like tufts of bamboo, which extended to the zenith and whose color was fading.",CHINA,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p.41","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_35,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
36,01/01/0919,"...""a flaming torch and brilliant spheres like stars moved here and there in the sky of Hungary.",HUNGARY,"Ion HOBANA/Julien WEVERBERGH: ""UFOs in the USSR and in the East Countries"" - trad. Laffont 1976 - p. 245","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_36,,,HUNGARY,,HUNGARY,
37,01/01/0927,"In the ""Annals"" of Flodoard, a French chronicler, it can be read that in 927 in Verdun and throughout the east of France armies were seen marching in the sky.","FRANCE, Verdun.","Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 p. 61-62","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_37,,,FRANCE,VERDUN.,"FRANCE, Verdun.","(46.2276, 2.2137)"
38,10/14/0934,"At the beginning of the night, a star was seen, as big as five bushels, heading towards the southwest. It had a long tail of about 10 degrees. Its color was red. It instantly changed shape, taking the form of a dragon before becoming two spades that were getting closer. A small star moving east was seen at the same time.",CHINA,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p.41","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_38,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
39,01/01/0940,Armies ravaged the sky.,GERMANY,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p.41","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_39,,,GERMANY,BERLIN,GERMANY,"(51.1657, 10.4515)"
40,01/01/0940,On a seen beams of light in the sky on a Sunday night.,FRANCE,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p.41","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_40,,,FRANCE,PARIS,FRANCE,"(46.2276, 2.2137)"
41,01/01/0950,"(Approx. date.) On a Sunday when people were at mass, a miracle happened in the town of Cloera. There is a church in the town dedicated to the memory of Saint Kinarus. A metal anchor with a rope attached to it fell from the sky and one of its pointed legs got stuck in the wooden arch that tops the church. People rushed outside and saw in the sky a ship with men on board floating at the other end of the anchor rope, then they saw a man jump overboard and descend the rope as if to go and unhook the anchor. It seemed as if he was swimming in the water. People rushed to grab him but the bishop forbade them to hold him for fear of killing him. The man, once released, quickly climbed back up the rope to rejoin the ship. The crew cut the rope and the ship, rising, disappeared. But the anchor remained in the church as a testimony to this singular event (in ""Speculum Regali"" manuscript ""Konungs Skuggsa"") (Frank Edwards: ""Les S.V. affaire sérieuse"" - trad. Laffont 1967 - p. 17- other authors place this event around 1215) ANOTHER VERSION: A ship sailed in the air, everyone saw it. One of the crew of the ship threw a javelin to catch a fish, which people also saw swimming in the air. The javelin missed its target and fell to the ground. The unfortunate fisherman plunged out of the ship and swam to retrieve his weapon. But among the terrestrial spectators, a man had already taken the javelin. The aerial fisherman failed to take it back from him and then said: ""But let it go, for I shall drown"". The man let go and the fisherman swam back up to the ship, where he climbed aboard.","IRELAND, Cloera",© 1997 Jeroen Slurf and Jeroen Kümeling.,"[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_41,,,IRELAND,CLOERA,"IRELAND, Cloera","(53.1424, -7.6921)"
42,07/29/0966,At sea a cylinder was observed in a vertical position,MEDITERRANEE,"Michel BOUGARD, Inforespace n° 22 p. 36","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_42,,,MEDITERRANEE,,MEDITERRANEE,
43,01/01/0970,"As for its applications (that of powder) as a propulsion agent, they are placed around 970, at the time of Tai-Sou, founder of the Song Dynasty. At the time, arrows were used with a bamboo tube filled with powder attached; the charge was set on fire just before releasing the bowstring, and the range of the arrow was thus considerably increased.",CHINA,"""Conquest of Space"" - Thomas de Galiana, ed. Larousse Poche, 1967, p. 49","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_43,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
44,11/02/0979,"Throughout the night, beams were noticed in the middle of the sky.",FRANCE,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p.41","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_44,,,FRANCE,PARIS,FRANCE,"(46.2276, 2.2137)"
45,07/29/0989,"...three round and shiny objects flew over Japan. (989, July 29 (August 3?))",JAPAN,"Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 p. 62- Inforespace n° 22 p. 36","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_45,,,JAPAN,TOKYO,JAPAN,"(36.2048, 138.2529)"
46,08/03/0989,The three objects shone in an unusual way and came together at the same point in their trajectory.,JAPAN,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p.41","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_46,,,JAPAN,TOKYO,JAPAN,"(36.2048, 138.2529)"
47,08/23/1015,Two spherical luminous objects were observed in Japan while they released two stars.,JAPAN,"Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 p. 66","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_47,,,JAPAN,TOKYO,JAPAN,"(36.2048, 138.2529)"
48,08/01/1027,"..in the month of Redjeb, many stars passed over Cairo and the Nile Delta. They flew with great noise and emitting a bright light.","EGYPT, Cairo","Michel BOUGARD: ""La chronique des OVNI"" - Delarge 1977 p. 66","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_48,,,EGYPT,CAIRO,"EGYPT, Cairo",
